job_title,employment_type,company,salary,processed_salary,min_education_level,requirements
Developer,Full time,My Free Course,"Rp 10,000,000 – Rp 15,000,000 per month",Rp. 12.500.000,S1,"Proven experience with React.js and its core principlesStrong proficiency in TypeScript and modern JavaScript (ES6+)Excellent knowledge of HTML5 and CSS3Experience working with RESTful APIs and integrating third-party servicesFamiliarity with Zapier and its integration capabilitiesSolid understanding of responsive design and cross-browser compatibilityVersion control with GitBachelor's degree in Computer Science, Software Engineering, or related field (or equivalent work experience)
Experience with state management libraries (e.g., Redux, MobX)Knowledge of server-side rendering and Next.jsUnderstanding of CI/CD pipelines and DevOps practicesExperience with unit testing frameworks (e.g., Jest, React Testing Library)Knowledge of UI/UX design principlesFamiliarity with Agile development methodologiesExperience with cloud platforms (e.g., AWS, Azure, or Google Cloud)
Must be fluent in both spoken and written English (to a very high level)Strong problem-solving skills and attention to detailExcellent communication and teamwork abilitiesSelf-motivated and able to work independently when requiredPassion for staying updated with the latest web development trends and technologiesAbility to manage multiple projects and prioritize tasks effectively"
Kepala toko/Asst.Kepala Toko,Contract/Temp,PT IWAN BERSAUDARA,Rp 3.650.000 – Rp 4.500.000 per month,Rp. 4.075.000,,Not Found
Digital Marketing Specialist - Fully Remote (WFH),Full time,PT CNF Global Talenta,Rp 6.000.000 – Rp 8.700.000 per month,Rp. 7.350.000,,Not Found
Tour Operations Executive/ Senior Executive,Full time,BEEDUCATION ADVENTURES SDN. BHD.,"Rp 9,000,000 – Rp 11,000,000 per month",Rp. 10.000.000,,Not Found
HR Finance Admin,Full time,NV5 Limited,"Rp 7,000,000 – Rp 10,000,000 per month",Rp. 8.500.000,S1,"• Bachelor’s degree in Human Resources, Finance, Business Administration, or a related field• Minimum of 2 years of experience in Finance and/or HR administration• Strong proficiency in English, both written and verbal• Excellent organizational and multitasking abilities• Strong attention to detail and problem-solving skills• Ability to work independently and as part of a team"
Freelance Brand Ambassador (Remote),Casual/Vacation,PT Andalan Resources,Rp 2.000.000 – Rp 3.000.000 per month,Rp. 2.500.000,,Not Found
Telemarketing (Remote),Full time,PT Inspirasi Edukasi Indonesia,Rp 4.700.000 – Rp 7.000.000 per month,Rp. 5.850.000,,Not Found
DevOps - Remote,Full time,Indo Ned Consultancy Company,Rp 7.000.000 – Rp 9.000.000 per month,Rp. 8.000.000,,"Excellent communication skills in both English and Indonesian language.Be able to work remotely, a good internet connections is required.Work on Dutch time.Excellent understanding of Linux system administration, specifically Ubuntu, and network protocols.Strong knowledge of cloud platforms and related infrastructure services.Proficiency in scripting languages (e.g., Bash, Python) to automate repetitive tasks.Understanding of security best practices and tools to ensure safe deployments.Familiarity with containerization and orchestration tools like Docker and Kubernetes.2+ years of experience in DevOps, Systems Administration, or Site Reliability Engineering.Hands-on experience with CI/CD tools.Experience in monitoring, logging, and alerting solutions.Able to communicate in English to work collaboratively across different teams and stakeholders.Ability to work independently, problem-solve, and take ownership of projects and initiatives.Experience with configuration management and automation tools such as Terraform, Ansible, Chef, or CloudFormation.Familiarity with database management and optimization in MySQL, PostgreSQL, or NoSQL databases.
If you want to apply for this vacancy, please apply in English with your resume and motivation and we will get in touch soon. A test will be part of the selection process."
PHP Laravel Developer - Fully Remote (WFH),Full time,PT CNF Global Talenta,Rp 7.000.000 – Rp 10.000.000 per month,Rp. 8.500.000,,Not Found
Civil Engineer,Full time,PT. DCT TOTAL SOLUTIONS,Rp 5.500.000 – Rp 6.500.000 per month,Rp. 6.000.000,,Not Found
UI/UX Designer (Remote/WFH),Full time,RemoHires,Rp7.000.000 – Rp9.000.000 per month,Rp. 8.000.000,,"Proven experience as a UI/UX Designer with a strong portfolio showcasing web and mobile projects.Expertise in Figma for prototyping, collaboration, and asset management.Strong understanding of modern design principles, accessibility, and usability.Experience designing for community-based platforms or gamified systems is a plus.Excellent communication skills to articulate design decisions and collaborate with cross-functional teams.Ability to balance creativity with user needs and technical constraints.
Preferred Skills:
Knowledge of gamification principles and their application in UI/UX design.Basic understanding of front-end development (HTML/CSS/JS) to collaborate effectively with developers.Familiarity with designing for moderation tools and reporting systems."
Dokter kandungan spOG Gynaecologist,Casual/Vacation,Wearology,Rp 3.333.333 – Rp 5.000.000 per month,Rp. 4.166.666,,"- Lulusan Spesialis Kandungan
- Fresh Graduate
- Memiliki STR Aktif"
Finance Accounting (Fluent Mandarin),Full time,PT BGP INDONESIA,Rp 13.500.000 – Rp 20.000.000 per month,Rp. 16.750.000,,Not Found
Inside Sales Specialist,Full time,MCLINK COPY SERVICES PHILIPPINES INC.,"Rp 8,000,000 – Rp 10,000,000 per month",Rp. 9.000.000,S1,"Bachelor’s degree in Business, IT, or a related field (preferred).Experience in inside sales, ideally in copier, IT, or ERP industries.Strong communication, negotiation, and organizational skills.Tech-savvy with the ability to learn and explain technical solutions.Goal-oriented, self-motivated, and able to thrive in a remote sales environment.Preferably can speak mandarin
This position is perfect for sales professionals with a passion for technology, excellent interpersonal skills, and a results-driven approach to business growth."
SALES EXECUTIVE,Full time,PT. Indah Medika Indonesia,Rp 3.000.000 – Rp 4.000.000 per month,Rp. 3.500.000,,Not Found
Client Relationship Manager,Full time,PT Inspirasi Edukasi Indonesia,Rp 5.100.000 – Rp 7.500.000 per month,Rp. 6.300.000,,Not Found
Pre-sales Solutions Manager(Remote Work),Full time,Speakly AI,"Rp 35,000,000 – Rp 48,000,000 per month",Rp. 41.500.000,,Not Found
Reservation Staff,Full time,Ticketboat.id,Rp 3.500.000 – Rp 4.000.000 per month,Rp. 3.750.000,,Not Found
"Backend - Frontend Web Developer (.NET Core, Golang, Laravel, NestJS, NuxtJS...",Full time,Rolling Glory - Creative Digital Enabler,Rp 6.700.000 – Rp 10.000.000 per month,Rp. 8.350.000,,"have experience in development of rich, responsive, and multiplatform Web application,have a good understanding in how internet technology and web application works,have a good grasp of software engineering and is interest in creative product development,has awareness of user experience and a good taste in design,is passionate to be involved in development of high quality creative digital application, andwants to work in a studio with fun and positive atmosphere together with friendly and passionate people.have a good understanding in backend app and REST API server development,have a good knowledge in PHP frameworks: Laravel, Yii2, or a good knowledge in NodeJS, ExpressJS, NestJS, Java Spring Boot, Go Lang, .NET Corehave an experience in infrastructure like AWS or Azure and Docker or Kubernetes is a plus.have a good understanding in HTML, CSS, Bootstrap, and jQuery,have a knowledge and experience in ReactJS, VueJS, NuxtJS.have a good understanding in development of modular UI architecture,have a good understanding in html tag semantic and how to make SEO-friendly web,have a good taste in design and UX."
Sales Specialist (remotely),Full time,PT. MATCH MAKERS AGENCY,Rp 4.000.000 – Rp 5.500.000 per month,Rp. 4.750.000,,"Proficiency in EnglishMinimum of 2 years of experience in sales, particularly in servicesEnergetic and reliableStrong communication and negotiation skills"
Sales Engineer - HVAC,Full time,PT Inti Solusi Energi,Rp 13.000.000 – Rp 18.000.000 per month,Rp. 15.500.000,,"1-2 years of experience as a Sales Engineer, preferably with HVAC-related products.Familiarity with project and construction workflows, with a strong understanding of key decision-makers in building projects.An engineering background in VRV, VRF, HVAC, chillers, or cooling systems is highly desirable.Strong communication and presentation skills, with fluency in English or Chinese.Willingness to travel as needed. Must be based in Indonesia or nearby areas."
Meeting Setter (Sales Team),Full time,PT. KRELOSES TEKNOLOGI INDONESIA,Rp 5.000.000 – Rp 7.500.000 per month,Rp. 6.250.000,,Not Found
Functional Consultant (Finance / Supply Chain Industry),Contract/Temp,PT. Elabram Systems,"Rp 18,000,000 – Rp 20,000,000 per month",Rp. 19.000.000,S3,"Experience with Process manufacturing.Background expertise in ERP Finance & Supply Chain including system configuration.Strong analytical skills with the ability to translate business requirements into technical specifications (documentation) with an emphasis toward highly available and scalable global solutions.Have a broad understanding of technical solution components, such as Windows operating systems, networks, application server, data base server, remote access tools, and file delivery solutions within Information technology.Understand fundamentals of project management and execution.Language – Comfortable in English & Local Language.Previous experience with ERP implementation (Dynamics365 or Ax2012)Previous experience with Azure DevOps and similar tools.D365 F&SC certification.Understand data integrations in the context of an ERP.Familiar with third party services for the Finance & Supply Chain industry, such as warehouse automation or transportation service.Exposure to Lean Manufacturing processes.Working knowledge of data analytical tools and SQL experience is a plus.General knowledge of accounting principles and experience in a manufacturing environment is beneficial."
Owner Surveyor,Full time,Private Advertiser,Rp 6.000.000 – Rp 8.000.000 per month,Rp. 7.000.000,,Not Found
IT Support,Full time,PT. Maritim Sukses Bersama,Rp 6.500.000 – Rp 8.000.000 per month,Rp. 7.250.000,,Not Found
Desk Collection Officer,Full time,Private Advertiser,Rp 3.850.000 – Rp 5.775.000 per month,Rp. 4.812.500,,Not Found
IT Project Manager,Full time,PT Logique Digital Indonesia,Rp 15.000.000 – Rp 20.000.000 per month,Rp. 17.500.000,,"Minimum of 3 years of experience as an IT Project Manager.Fluent in English (a plus).Strong experience in project management and implementation of the latest technologies in web development and mobile applications.Ability to manage projects from Initiating, Planning, Executing, Monitoring, and Controlling to Closing phases.Proficient in budgeting and presales.Strong research skills related to market trends, client competitors, and the ability to provide sound advice to clients.Knowledgeable and skilled in Agile project management methodologies.Familiarity with or experience in automotive projects is a plus.Background as a software engineer is an added advantage."
Proshop Supervision,Full time,PT Daikin Airconditioning Indonesia,Rp 10.000.000 – Rp 10.500.000 per month,Rp. 10.250.000,S1,"Candidate must posses at least diploma/bachelor degree in Electrical EngineeringGood ability on Ms. Office and AutocadFamiliar with HVAC systemDetail oriented, fast-learner, and team playerWilling to work based on project hoursGood communicationWork on multiple projects simultaneouslyPlacement :  Sudirman"
"Developer (Web, App, and Full Stack)",Full time,Dentalverse,"Rp 7,000,000 – Rp 9,000,000 per month",Rp. 8.000.000,S1,"Bachelor's degree in Computer Science, Information Technology, or a related field.
Minimum of 2 years of experience as a Web Developer.
Proficiency in HTML5, CSS3, JavaScript, and frameworks like React.js or Vue.js.
Experience with backend systems such as Node.js or Django is a plus.
Strong understanding of RESTful APIs and WebSocket.
Familiarity with CI/CD tools and version control systems like Git."
Full Stack Developer,Full time,PT Rsystems Ibizcs International,$3.000 – $3.500 per month (SGD),Rp. 38.402.000,,Not Found
Head of Sales,Contract/Temp,Magnum Estate,Rp 30.000.000 per month,Rp. 30.000.000,,At least 2 years of experience in real estate sales management on the market of India.Experiences in developing sales from scratch is preferred.Proficiency in English (C1) and experienced working in international companies.Ability to analyse the market and competitive environment.Knowledge and control of CRM systems and analytical tools.Has willingness and ready to go frequent business trip.
Sr. PR Account Consultant,Full time,Publicom,Rp 6.000.000 – Rp 9.000.000 per month,Rp. 7.500.000,,Not Found
"Application Specialist (Women's Health, Molecular, and Cancer)",Full time,Becton Dickinson and Company (Korn Ferry),"Rp 8,000,000 – Rp 12,000,000 per month",Rp. 10.000.000,,Not Found
Junior GIS Specialist,Contract/Temp,Private Advertiser,Rp 3.000.000 – Rp 3.500.000 per month,Rp. 3.250.000,S1,"Gelar Sarjana di bidang Geografi, Sistem Informasi Geografis, Agronomi, atau bidang terkait.Minimal memiliki pengalaman menghandle project GIS pada bidang perkebunanPenguasaan perangkat lunak GIS (misalnya ArcGIS, QGIS) dan alat analisis spasial.Pengalaman dalam pengumpulan dan analisis data lapangan, termasuk survei, pemetaan dan Remote Sensing.Pemahaman tentang praktik terbaik pengelolaan perkebunan dan tantangan keberlanjutan.Keterampilan analitis yang kuat dan kemampuan pemecahan masalah.Keterampilan komunikasi yang baik Kemampuan bekerja secara mandiri maupun dalam tim, serta mengelola proyek secara efektif.Memiliki kemampuan pemrograman (Python, R) pada pemodelan Machine Learning akan sangat dipertimbangkan."
Full-Stack Developer Laravel (Entry-Level),Full time,PT Binavalasindo Dolarasia Sejahtera Utama,"Rp 5,000,000 – Rp 7,000,000 per month",Rp. 6.000.000,,Fresh graduate atau pengalaman kerja 1 tahun di bidang pengembangan web.Memiliki pemahaman dasar tentang Laravel dan framework PHP lainnya.Menguasai JavaScript dan framework Vue Js.Familiar dengan Inertia Js dan Tailwind CSS (nilai tambah).Kemampuan problem-solving yang baik dan memiliki semangat untuk belajar hal baru.Mampu bekerja secara mandiri maupun dalam tim.Memiliki komunikasi yang baik dalam Bahasa Indonesia (Bahasa Inggris adalah nilai tambah).
IT,Full time,PT BQuik Otomotif Indonesia,Rp 15.000.000 per month,Rp. 15.000.000,S1,"Bachelor’s degree in information technology, Computer Science, or related fields.Sufficient experience in IT infrastructure management and project delivery.Proven track record of implementing IT governance frameworks and managing IT systems.Understanding of IT governance policies, security frameworks, and information management.Technical expertise in encryption, authentication, and network security.Excellent problem-solving, communication, and interpersonal skills.English language ability to effectively communicate with global teams and stakeholders."
GIS Specialist,Contract/Temp,Private Advertiser,Rp 3.500.000 – Rp 5.200.000 per month,Rp. 4.350.000,S1,"Gelar Sarjana di bidang Geografi, Sistem Informasi Geografis, Agronomi, atau bidang terkait.Minimal 3 tahun pengalaman dalam penggunaan GIS, khususnya dalam konteks agrikultur atau komoditas tebu, sawit, karet, teh dan kopi.Penguasaan perangkat lunak GIS (misalnya ArcGIS, QGIS) dan alat analisis spasial.Pengalaman dalam pengumpulan dan analisis data lapangan, termasuk survei, pemetaan dan Remote Sensing.Pemahaman tentang praktik terbaik pengelolaan perkebunan dan tantangan keberlanjutan.Keterampilan analitis yang kuat dan kemampuan pemecahan masalah.Keterampilan komunikasi yang baik Kemampuan untuk bekerja secara mandiri maupun dalam tim, serta mengelola proyek dengan efektif.Memiliki kemampuan pemrograman (Python, R) pada pemodelan Machine Learning akan sangat dipertimbangkan."
SENIOR Product Designer (UI/UX),Full time,Design Elite,"Rp 8,000,000 – Rp 10,000,000 per month",Rp. 9.000.000,,Not Found
Social Media Manager,Contract/Temp,Qortex Billiard,Rp3.500.000 – Rp5.000.000 per month,Rp. 4.250.000,,Not Found
AI Caption Editor,Full time,LINGUO GO SDN. BHD.,"Rp 13,000,000 – Rp 14,000,000 per month",Rp. 13.500.000,,Not Found
Onsite NOC / Onsite Network Engineer (Teknisi Jaringan Komputer ),Full time,PT Asia Teknologi Solusi,"IDR 5,500,000 - 7,700,000",Rp. 6.600.000,,"Paham secara mendalam tentang DNS, DHCP, TCP/IP, VPN, VLAN.Memiliki kendaraan pribadi dan SIM.Maximal absen (tanpa surat keterangan yang valid) 2 hari dalam 1 bulan.Kepribadian rapih, sopan & sabar dalam menangani keluhan pelanggan.Mampu bekerja dengan hasil yang rapih, cepat & akurat.Siap bekerja lembur untuk menyelesaikan tugas & tanggung jawab.Patuh terhadap Kode Etik dan Peraturan Perusahaan.
Terima kasih,"
Technical Support Intern (Remote),Full time,Salesautomators,"Rp 2,400,000 – Rp 3,600,000 per month",Rp. 3.000.000,,Not Found
"Xero Accountant (Remote, English-Speaking Indonesian Only)",Contract/Temp,AMI Financial Solutions,Rp 7.000.000 – Rp 9.000.000 per month,Rp. 8.000.000,S1,"Bachelor’s degree in Accounting, Finance, or related field.Proven experience as an accountant, with a focus on Xero software.Certified Xero AdvisorStrong understanding of accounting principles and financial regulations.Proficiency in Xero accounting software is essential.Familiarity with tax compliance and regulations (e.g., VAT, GST).Experience with financial reporting and analysis.Strong attention to detail and accuracy.Excellent organizational and time management skills.Ability to work independently and as part of a team.Good communication skills, both written and verbal.CPA or equivalent professional certification (preferred but not required)."
Drafter,Full Time,PT CAHAYA KARYA PRAKARSA,Rp.5 – 6 Juta,Rp. 5.500.000,"Diploma/D1/D2/D3, Sarjana / S1","Skills: Mampu menggunakan aplikasi Autocad Dapat menggunakan Microsoft Office (Word, Excel, Power Point) Mampu menghitung penawaran | Qualifications: Pendidikan Diploma Jurusan teknik Berpengalaman min 1 tahun di bidang yang sama"
Manager Asisten,Contract,PT KIDE LOGISTIK INDONESIA,Rp.15 – 20 Juta,Rp. 17.500.000,Sarjana / S1,"Skills: Lancar berbahasa Mandarin, baik lisan maupun tulisan. Pengalaman dalam editing video adalah nilai tambah. Keterampilan komunikasi yang baik dan kemampuan organisasi yang tinggi. | Qualifications: Berpengalaman di bidangnya, Fresh graduate Pendidikan S1 sederajad"
Digital Advertiser,Full Time,Solusindo,Rp.2 – 3 Juta,Rp. 2.500.000,"Diploma/D1/D2/D3, Sarjana / S1","Skills: Melaksanakan dan menganalisis strategi pemasaran digital, campaign, dan aktivitas Ads Mengetahui Dasar Meta Ads, Google Ads, dan TikTok Ads | Qualifications: Pendidikan minimal D3/S1 semua jurusan Memiliki ketertarikan di dunia Digital Marketing Berpengalaman minimal 1 tahun di bidang yang sama Memahami desain dan pengelolaan landing page Penempatan Area Paiton – Probolinggo"
Digital Marketing,Contract,Porta Carne Indonesia,Rp.2 – 3 Juta,Rp. 2.500.000,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM",Skills: 1. Graphic design 2. Copywriting 3. SEO (Search Engine Optimization) 4. Social media management 5. Email marketing 6. Expertise in Email Marketing Platforms | Qualifications: 1. Minimum high school education 2. Have an experience in the same position
Koordinator Sales,Contract,Izzi Express Cab Depok,Rp.4 – 5 Juta,Rp. 4.500.000,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: 1. Menguasai Microsoft Word, Excel dan Power Point 2. Mampu berkoordinasi dan berkomunikasi via Telfon dan Whatsapp 3. Bisa menyetir mobil, lebih diutamakan | Qualifications: Memiliki pengalalaman di bidang terkait Memiliki SIM Motor dan Mobil, lebih diutamakan"
Sales,Contract,PT Panji Boga Internusa,Rp.3 – 4 Juta,Rp. 3.500.000,SMA / SMK / STM,"Skills: Kemampuan komunikasi dan negosiasi yang baik. | Qualifications: Berpengalaman di bidang penjualan minimal 2 tahun, lebih disukai di industri makanan. Memiliki kendaraan pribadi dan SIM aktif untuk mobilitas kerja."
Digital Marketer,Part Time,CV Sentral Gaya Utama,Rp.2 – 3 Juta,Rp. 2.500.000,SMA / SMK / STM,"Skills: – Menguasai platform media sosial seperti Instagram dan Tiktok, menguasai penggunaan e-commerce seperti Shopee, menguasai digital ads (Instagram Ads, Facebook Ads, Shopee Ads) – Dapat menggunakan aplikasi editing simpel seperti Canva dan Capcut – Kemampuan menulis dan berkomunikasi yang baik – Mahir dalam penggunaan perangkat digital marketer – Pengetahuan dasar tentang SEO | Qualifications: Pendidikan minimal SMA/SMK, Freshgraduate welcome Pengalaman minimal 1 tahun di bidang yang sama"
Sustainability and Social Inspector – Textile Industry,Contract,Ecocert SouthEast Asia Pte Ltd,Rp.20 Juta Lebih,Rp. 20.000.000,"Master / S2, Sarjana / S1","Skills: – Textile audits skills – Understanding of textile industry regulations –Attention to details and well organized – Excellent communication, interpersonal and customer relations skills – Commitment to respect confidentiality, independence and impartiality | Qualifications: – Bachelor / Master Degree in quality, textile, ingredients science, sustainable development, environment management or social accountability – Fluent in both written & oral English. Fluent in other languages is a plus – 3 to 5 years experience as auditor in Textile industry is highly recommended"
Digital Advertiser,Full Time,KASIH PALESTINA,Rp.3 – 4 Juta,Rp. 3.500.000,Sarjana / S1,"Skills: Memahami dengan baik CPAS / GTM Memahami A/B Testing, Target Market, Ads Copy, Landing Page dan Kreatif Konten Kemampuan analitis yang kuat serta mahir dalam Microsoft Office (Word, Excel, PowerPoint). | Qualifications: Pengalaman minimal 3 tahun dalam periklanan digital dan pemasaran media sosial."
IT Support,Full Time,Ringkat Teknologi Muliatama,Rp.4 – 5 Juta,Rp. 4.500.000,Sarjana / S1,"Skills: • System Maintenance, Troubleshooting, Information Security, Software and Applications • The employee should be able to maintaining computer systems and networks. • To be able to troubleshoot, install, configure, test and maintain operating systems, application software and system management tools. • To be involve in Software Testing and Quality assurance of the company and report the management for analytical purpose. • Able to solve problems / issues and reduce the number of issues/system errors. | Qualifications: Minimum 1 year experience, fresh graduates are welcome S1 In kind of field The experience involving in software support for office or customer"
Trainer Praktek Komputerisasi Akuntansi,Contract,YAYASAN PILAR INSAN NUSANTARA,Rp.2 – 3 Juta,Rp. 2.500.000,"Diploma/D1/D2/D3, Sarjana / S1",Skills: Mahir menggunakan Aplikasi / Software Akuntansi ACCURATE | Qualifications: 1. Minimal lulusan D3 / S1 Akuntansi / Manajemen / Komputer 2. Fresh graduate silahkan melamar
Digital Marketing,Contract,Coolinnerlife,Rp.1 - 2 Juta,Rp. 1.500.000,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: 1. Pemahaman yang kuat tentang platform iklan digital (Google Ads, Facebook Ads, dll.). 2. Bisa Canva | Qualifications: 1. Gelar Sarjana di bidang Pemasaran, Komunikasi, Teknologi Informasi, atau bidang terkait. 2. Pengalaman minimal 2 tahun di bidang digital marketing, SEO, SEM, dan manajemen media sosial. 3. Pemahaman yang kuat tentang platform iklan digital (Google Ads, Facebook Ads, dll.). 4. Familiar dengan alat analitik seperti Google Analytics, Google Search Console, dan alat CRM. 5. Kemampuan untuk bekerja dalam tim dan berkolaborasi dengan berbagai departemen. 6. Memiliki kemampuan komunikasi yang baik dan perhatian terhadap detail. 7. Kreatif, inisiatif, dan mampu bekerja dalam lingkungan yang cepat berubah."
Admin Operasional,Contract,Iconiq Property,Rp.2 – 3 Juta,Rp. 2.500.000,"Diploma/D1/D2/D3, SMA / SMK / STM","Skills: 1.Minimum Lulusan D3 atau SMA 2.Ahli dalam Excel 3.Mampu berkomunikasi dgn baik dengan orang lain. | Qualifications: 1. Minimum D3 atau SMA. 2. Berpengalaman di bidangnya, fresh graduate dipersilahkan"
Sales Canvas,Contract,Coolinnerlife,Rp.1 - 2 Juta,Rp. 1.500.000,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: Komunikasi dan Negosiasi Yang Baik | Qualifications: 1. Minimal lulusan SMA/SMK, diutamakan memiliki pengalaman sebagai Sales Canvas atau di bidang penjualan langsung. 2. Komunikatif, percaya diri, dan memiliki keterampilan negosiasi yang baik. 3. Mampu bekerja di bawah tekanan dan mencapai target penjualan. 4. Berorientasi pada hasil dan memiliki motivasi diri yang tinggi. 5. Siap bekerja di lapangan dan melakukan kunjungan langsung ke lokasi pelanggan. 6. Memiliki kendaraan pribadi (motor) dan SIM C yang masih berlaku."
SAP Full-Stack Developer,Contract,Fluit Pte Ltd,Rp.12 – 15 Juta,Rp. 13.500.000,Sarjana / S1,"Skills: • Extensive knowledge and practical experience with Enhancement Spots for customizing SAP standard functionalities. • Strong understanding and utilization of Business Add-Ins (BAdIs) for implementing custom enhancements in SAP applications. • Knowledge and experience in Business Rule Framework Plus (BRFplus) for defining and executing business rules within SAP systems. • Strong knowledge of SAP FICO, MM, SD, PP, and other major modules. • Experience with project management methodologies such as Agile or Waterfall. • Excellent communication and interpersonal skills. • Ability to work individually and collaborate with a team. • Professional English language skills. Preferred Skills and Qualifications • Interface knowledge with SAP and Non-SAP systems. • Relevant certifications like SAP Certified Technology Associate and SAP Certified Development Associate. • Exposure and hands-on in PP configuration, customizing, and deployment. • Aware of the latest SAP technologies, tools, and best practices. | Qualifications: • Bachelor’s degree in computer science, Information Technology, or a related field. • Minimum 7 years of hands-on experience in SAP backend development."
Digital Marketing,Full Time,PT Metalco Indo Abadi,Rp.3 – 4 Juta,Rp. 3.500.000,Diploma/D1/D2/D3,"Skills: Menguasai penggunaan Microsoft Office dengan baik (Word, Excel, PowerPoint). Kemampuan analitis dalam mengelola dan mengevaluasi kinerja pemasaran digital. | Qualifications: Pendidikan Min Diploma Berpengalaman min 1 tahun di bidang yang sama"
Back End Developer (PHP / Laravel),Full Time,PT. Loker Asli Indonesia,Rp.3 – 4 Juta,Rp. 3.500.001,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: 1. PHP 2. MySQL/ MariaDB/PosgreSQL 3. Backend framework : Codeignitier/ Laravel / Slim 4. RESTFul API, JSON 5. Familiar dengan layanan AWS : SQS, SES 6. GIT 7. Memahami testing system menggunakan unit test. | Qualifications: 1. Berpengalaman dalam membangun Frontend Website. 2. Pendidikan minimal SMA/SMK. 3. Mampu masuk ke sistem existing. 4. Clean code. 5. Bersedia bekerja dengan sistem remote."
SAP Logistics Consultant,Contract,Fluit Pte Ltd,Rp.12 – 15 Juta,Rp. 13.500.000,"Master / S2, Sarjana / S1","Skills: • Proficiency in frontend (SAPUI5) and backend (ABAP/OO) programming languages for developing custom SAP solutions. • Extensive knowledge and practical experience with Enhancement Spots for customizing SAP standard functionalities. • Strong understanding and utilization of Business Add-Ins (BAdIs) for implementing custom enhancements in SAP applications. • Hands-on experience with Business Application Programming Interfaces (BAPIs) for integrating external applications with SAP systems. • Proficiency in Application Link Enabling (ALE) and Intermediate Documents (IDocs) for data exchange between different systems. • Knowledge and experience in Business Rule Framework Plus (BRFplus) for defining and executing business rules within SAP systems. • Strong knowledge of SAP SD, MM, LE, LO, PP, PS, PM, QM, CS, GTM, GTS, BRIM, and other major modules. • Experience with project management methodologies such as Agile or Waterfall. • Excellent communication and interpersonal skills. • Ability to work individually and collaborate with a team. • Professional English language skills. Preferred Skills and Qualifications • Interface knowledge with SAP and Non-SAP systems. • Relevant certifications like SAP Certified Process Associate and SAP Certified Development Associate. • Exposure and hands-on in configuration, customizing, and deployment. • Aware of the latest SAP technologies, tools, and best practices. • Professional German language skills. | Qualifications: • Bachelor’s degree in computer science, Information Technology, or a related field. • Minimum 7 years of hands-on techno-functional experience in SAP logistics."
Business Developement Lead,Contract,PT Karya Komunikasi Nusantara,Rp.3 – 4 Juta,Rp. 3.500.000,"Diploma/D1/D2/D3, Master / S2, Sarjana / S1",Skills: Excellent communication skills Strong English proficiency (written & verbal) Analytical thinking dan business acumen Self-motivated dan target oriented Kemampuan bekerja mandiri | Qualifications: Pendidikan Min Diploma Pengalaman 1-2 tahun di sales/business development
Operator Pemasaran,Full Time,PT ZAO TEKNO INDONESIA,Rp.4 – 5 Juta,Rp. 4.500.000,SMA / SMK / STM,Skills: Keahlian berkomunikasi dengan semua orang Terbiasa dengan dunia lapangan dan Pemasaran | Qualifications: Memiliki pengalaman yang sama lebih disukai
Reporter,Contract,Banyuwangi viva,Rp.3 – 4 Juta,Rp. 3.500.000,Sarjana / S1,Skills: Kemampuan teknik wawancara yang baik. Kemampuan menulis artikel berita dengan gaya jurnalistik. Penguasaan teknik fotografi dan pembuatan video. | Qualifications: Pengalaman minimal 1 tahun di bidang jurnalistik. Pendidikan S1 sederajad
SAP Financials Consultant,Contract,Fluit Pte Ltd,Rp.12 – 15 Juta,Rp. 13.500.000,"Master / S2, Sarjana / S1","Skills: • Proficiency in frontend (SAPUI5) and backend (ABAP/OO) programming languages for developing custom SAP solutions. • Proficiency in Application Link Enabling (ALE) and Intermediate Documents (IDocs) for data exchange between different systems. • Knowledge and experience in Business Rule Framework Plus (BRFplus) for defining and executing business rules within SAP systems. • Strong knowledge of SAP FI, CO, PS, TRM, GTM, GTS, BRIM, and other major modules. • Experience with project management methodologies such as Agile or Waterfall. • Excellent communication and interpersonal skills. • Ability to work individually and collaborate with a team. • Professional English language skills. Preferred Skills and Qualifications • Interface knowledge with SAP and Non-SAP systems. • Relevant certifications like SAP Certified Process Associate and SAP Certified Development Associate. • Exposure and hands-on in configuration, customizing, and deployment. • Aware of the latest SAP technologies, tools, and best practices. | Qualifications: • Bachelor’s degree in computer science, Information Technology, or a related field. • Minimum 7 years of hands-on techno-functional experience in SAP financials."
Guru Les,Part Time,Nadyagadget,Rp.2 – 3 Juta,Rp. 2.500.000,SMA / SMK / STM,"Skills: Keahlian Mengajar Keahlian dalam Penggunaan Metode Pembelajaran yang Variatif Keahlian Akademik dan Pengetahuan Mata Pelajaran Keahlian Teknologi Pendidikan (mengajar secara online, kemampuan untuk mengoperasikan platform seperti Zoom, Google Classroom, atau aplikasi lainnya penting). | Qualifications: Memiliki pengalaman dibidang terkait lebih disukai freshgraduate dipersilahkan melamar"
