Job Title,Job Category,Company Name,Salary,Requirements
Admin Platform,Full time,Uskinlab.id,,"Pendidikan: Minimal SMA/SMK, diutamakan D3/S1 di bidang Administrasi, Teknologi Informasi, atau bidang terkait.Pengalaman Kerja:Pengalaman di posisi administratif atau pengelolaan platform digital diutamakan.Pengalaman dalam manajemen data atau sistem informasi akan menjadi nilai tambah.Keterampilan:Kemampuan komunikasi yang baik, baik lisan maupun tulisan.Mahir dalam menggunakan aplikasi Microsoft Office (Word, Excel, PowerPoint).Familiar dengan penggunaan CMS (Content Management System) dan platform digital.Kemampuan troubleshooting dasar untuk masalah teknis di platform.Keterampilan organisasi dan manajemen waktu yang baik.Kepribadian:Teliti, detail-oriented, dan mampu bekerja secara mandiri maupun tim.Kemampuan multitasking yang baik dan mampu bekerja dalam tekanan.Sikap proaktif dalam mencari solusi atas masalah yang dihadapi.Keterampilan Teknis (Opsional):Pengalaman dengan alat analisis data (Google Analytics, misalnya).Pengetahuan dasar tentang pemrograman atau pengelolaan basis data (MySQL, PostgreSQL) akan menjadi nilai tambah.Lain-lain:Kemampuan bahasa Inggris (minimal pasif) untuk komunikasi dengan tim internasional atau membaca dokumentasi teknis.Bersedia bekerja dengan sistem kerja fleksibel, termasuk remote atau shift (jika diperlukan)."
Business Development for Headhunter Company,Full time,Private Advertiser,,"Proven experience in a similar role (call center, telesales, business development, or recruitment).Strong communication and interpersonal skills.Fluency in English (both verbal and written) is a must.Target-driven mindset with a proven ability to meet or exceed KPIs.Familiarity with CRM tools and practices is a plus.Ability to work independently and as part of a team.Professional demeanor with excellent negotiation and persuasion skills."
External Auditor Bali,Full time,"KAP PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & REKAN",,"Minimum 1 years of audit experience at a public accounting firm, big 4 alumni preferredOne or more degrees with an outstanding academic record with a minimum GPA 3.5 majoring in accounting at a reputable university.Accountant certification will be advantageous.Excellent in English, both oral and written.Demonstrate excellent interpersonal, communication and leadership skillsProactive and career-oriented by natureA team player with strong analytical ability and high motivationStrong competencies in the area of client service, problem solving and project management.Able to work in a fast-moving and multi-tasking environment.Willing to travel for out-of-town engagements, especially remote area.Fresh Graduated or Final Year Student from accounting or audit program are welcome to apply for internship."
Commercial Manager,Full time,McConnell Dowell South East Asia Pte Ltd,,Not Found
Operations Manager (Bali Placement),Full time,PT Think Global Bali,Rp 16.000.000 – Rp 18.250.000 per month,3+ years of experience in a similar roleProficiency with Microsoft OfficeStrong organizational and communication skillsStrong ability to multitaskComfort working with multiple groups within businessQuick learning ability and ability to guide other's work
Senior & Junior Surveyor,Full time,Penyelidikan Geoteknik Indonesia,Rp 6.000.000 – Rp 9.000.000 per month,"Min. S1 GeodesiMampu mengoperasikan dan mengolah data Total Station, GPS Geodetic, dan Waterpass atau auto levelMampu mengoperasikan droneMemiliki SKK Geodesi Jenjang 7 (Sangat diutamakan)Mampu bekerja diremote area"
IT STAFF,Full time,PT Supertone (SPC),,Not Found
Project Manager,Full time,McConnell Dowell South East Asia Pte Ltd,,Not Found
Fresh Graduate Management Training Program,Full time,Deliveree (PT Angkut Teknologi Indonesia),"Rp 5,000,000 – Rp 5,250,000 per month","Undergraduate GPA of 3.0 or higher from any majorFresh graduates or candidates with 1-2 years of experience are welcome to applyExcellent English skillsExcellent speaking and writing skillsSelf-motivated, independent, and hard-workingStrong reasoning, logic, and analysis skills"
Senior Website Product Data Specialist,Full time,SCHNAP Electric Products,"Rp 10,000,000 – Rp 15,000,000 per month",Not Found
Help Desk Technician,Full time,PT John Galt Properties,Rp 13.500.000 – Rp 20.000.000 per month,Not Found
Procurement Supervisor,Full time,PT. Indo Trans Teknologi,Rp 8.000.000 – Rp 10.000.000 per month,Not Found
Application Support,Contract/Temp,PT Swadharma Duta Data,Rp 6.700.000 – Rp 10.000.000 per month,Not Found
Junior Accountant,Full time,PT EDPMEDIA Multimitra Primanusa,Rp 8.500.000 – Rp 9.500.000 per month,"Sarjana Akuntansi Strata satu (S1) , IPK kumulatif minimal 3.5Pengalaman kerja yang relevan  2 tahun, bagi yang berdomisili di Jakarta Barat akan di utamaka"
Swift Developer,Full time,PT Jawa Soft,"Rp 8,000,000 – Rp 12,000,000 per month","Proven experience with SwiftUI, ideally for MacOS developmentStrong knowledge of Swift and Objective-C programming languagesFamiliarity with Core Data for data persistence and managementExcellent problem-solving skills and a keen eye for detailStrong written and verbal communication skills in English"
Full Stack Developer,Full time,Invitario,"Rp 7,000,000 – Rp 10,000,000 per month",Not Found
Software Team Lead,Full time,Invitario,"Rp 10,000,000 – Rp 15,000,000 per month",Not Found
Young Professionals Fast Track,Full time,Deliveree (PT Angkut Teknologi Indonesia),"Rp 6,000,000 – Rp 9,000,000 per month","Undergraduate GPA 3.0 or higher6-24 months of full-time work experience (contract work is acceptable)Excellent English skillsExcellent speaking and writing skillsSelf-motivated, independent, and hard-workingStrong reasoning, logic, and analysis skills"
Sales All Area,Contract/Temp,PT. Master Persada Indonesia,,"Pendidikan minimal SMA atau sederajatUsia maksimal 35 tahunPengalaman minimal 2 tahun dibidang Sales (tidak harus dari bidang Otomotif)Dapat bekerja dibawah tekanan dan targetJujur, mampu berkomunikasi dengan baik, memiliki skill negosiasiBersedia mobile dan memiliki kendaraan operasional minimum roda duaDomisili di Jakarta/Banten/Bandung/Bekasi/Karawang/Makassar/Nusa Tenggara/Bali/Surabaya/Semarang/Solo/Yogyakarta/Samarinda/Pekanbaru/Banjarmasin (penempatan sesuai daerah kandidat).
NB : NTT dan NTB di remote Sales Sidoarjo"
Digital Marketing Officer,Full time,Private Advertiser,,"Bachelor's degree in Marketing, Communications, or a related field.Proven experience in digital marketing, including SEO, social media, and Google Ads.Strong understanding of digital marketing tools and platforms (e.g., Google Analytics, Google Ads, Hootsuite, Buffer).Excellent written and verbal communication skills.Strong analytical and problem-solving skills.Ability to work independently and as part of a team.Passion for digital marketing and staying up-to-date with industry trends."
ERP Software Developer,Full time,Private Advertiser,,Not Found
Endpoint Security Team Leader,Full time,PT Metrocom Global Solusi,,Not Found
Social Media Intern - Unpaid Internship,Part time,Bed and Breakfast Extra Indonesia,,"Currently pursuing or recently graduated with a degree in Marketing, Communications, Digital Media, or a related field.Familiarity with popular social media platforms and trends, with a strong interest in digital marketing.Basic graphic design skills are a plus (e.g., Canva, Photoshop, or similar tools).Basic video editing skills are a plus (e.g., Adobe Premiere Pro, Adobe After Effects, or similar tools).Good English comprehension and communication skills for engaging with followers and crafting posts.Creative mindset with a proactive approach to proposing new ideas and engaging content.Comfortable working with data; experience with social media analytics tools is a bonus.Interest in the livestreaming, content creation, or marketing communication is a plus."
Network Engineer,Full time,Shipper,,"Ability to take personal responsibility for own decisionsAbility to cooperate with other team membersAbility to accept responsibility for own behavior and job related tasksAbility to plan and prioritize own workload to meet agreed deadlinesAbility to design and architect networks that meet the functional and non-functional requirements of the organizationAbility to basic analyze, design, install, configure, maintain, and repair network infrastructure and application components to meet company and user satisfactionAbility to identify and solve problems with functionality in computer networks.Ability to assemble, repair, to install operating systems and applications on computers.Ability to recognize the importance of customer focus and/or of serving the needs of the end userBasic knowledge of network protocols and technologies, such as TCP/IP, OSPF, BGP, MPLS, SD-WAN, DNS, DHCP, and SNMP.Basic knowledge of network security technologies and practices, such as firewalls, VPNs, IDS/IPS, and access control.Experience with network monitoring, analysis, and reporting tools, such as Wireshark, Nagios, and SolarWinds.Experience with network automation and scripting tools, such as Ansible, Python, and Bash, is a plus.Strong problem-solving and troubleshooting skills.Strong written and verbal communication skills.Strong analytical thinking"
Full-Stack Web Developer,Full time,Clickpilot Pty Ltd,"Rp 9,000,000 – Rp 13,000,000 per month",Not Found
Technical Support Engineer,Contract/Temp,PT Inovasi Anak Indonesia (Parkee),Rp 5.000.000 – Rp 6.000.000 per month,Not Found
Service Sales Associate,Full time,Otis Elevator Company (S) Pte Ltd,,"You have a business or technical degree or have completed training as a technician or business administratorYou have initial experience for at least 2 years in the sale of technical products requiring consultationYou have a strong customer and service orientation, including excellent interpersonal skillsYou are characterized by a high level of commitment and reliability, with a drive to deliver resultsYou are target focused, with the ability to work at pace in a demanding, complex, corporate organization"
Lifting Coach,Full time,PT. Radiant Utama Interinsco Tbk,,Not Found
TEKNISI (MEP/LISTRIK/AC),Full time,PT Parama Halimun Lestari,,"Usia maksimal 42 tahunPendidikan STM/SMK/,D3/S1 LISTRIKBerpengalaman di bidang teknik Listrik minimal 4 tahunMemahami instalasi, perawatan dan perbaikan Mechanical/Pompa, Electrikal, Panel Listrik, Plumbing, AC Residential, Genset adalah kelebihan tambahanMampu membaca single-line diagram, mekanikal manual book, diagram pompa atau kelistrikan, wiring diagram, manual book, diagram tabel-tabel kelistrikanBersedia bekerja overtimeBertanggung jawab, jujur,teliti,  disiplin, kerja keras dan sopanMembuat laporan hasil kerja ke ManagerMembuat laporan/ evaluasi secara periodik tentang kondisi peralatan beserta peralatan yang terpasangSanggup bekerja sama dengan para Vendor dan time schedule yang ketatBersedia Kerja Remote Jakarta dan BogorBersedia bekerja pada hari minggu / libur nasional bila di[perlukan"
IT Officer,Full time,Stroberi Accessories,,Not Found
Drilling and Blasting Engineer (Coal Mining),Full time,PT. KTC COAL MINING & ENERGY,,"33 - 38 years old.Bachelor/diploma degree from Mining or Geology Engineering.Having certificates of POP/POM (Pengawas Operasional Pertama/Madya) and KJL (Kartu Juru Ledak) under BSN/ESDM authorized.Having KIMMinimum 5 years working experience in drill and blast.Mastering in drill and blast performance evaluationHaving knowledge in coal geology and geotech aspects.Having a good understanding of wide range mining equipment applicationHave outstanding leadership skills, highly motivated, hard working under pressures and good team workGood interpersonal and communications skillsGood level of written and verbal in EnglishWilling to be place at remote site in Kalimantan Tengah."
Cloud Engineer (Kubernetes),Contract/Temp,PT Karya Solusi Prima Sejahtera,Rp 9.000.000 – Rp 9.500.000 per month,"Cloud Services :  Understanding of Infrastructure as a Service (IaaS) and Platform as a Service (PaaS)Virtualization : deep Understanding of Virtualization concept such as VMware and OpenstackNetworking : understanding of networking concepts and protocols, can implement basic switching and routingStorage : having knowledge to configure  SAN and NAS StorageContainerization : Having knowledge to Provisioning and management of container orchestration platforms, such as Kubernetes, to automate deployment, scaling, and management of containerized applicationsSecurity : understanding of cloud security principlesOperating System : having knowledge to configure basic administration of windows server and linux server , for example : config IP Address, remote Desktop, ssh, firewall and LVMHardware Management : having knowledge to Maintaining an up-to-date inventory of hardware assets, including servers, Storage, GPU , networking equipment, and peripherals."
Power Engineer (Arus Kuat) for Loss Adjuster,Full time,PT Radita Hutama Internusa,,Not Found
Marine Surveyor and Adjuster (Chemical Engineering),Full time,PT Radita Hutama Internusa,,"Candidate must possess at least a bachelor’s degree in Chemical Engineering from overseas university (degrees taught in English).Highly proficient in English, reflected by IELTS score 6.5 or TOEFL iBT 100 or TOEFL PBT 600Prepared to work as a team, willing to travel throughout Indonesia particularly in remote area and work in flexi-time hours.Computer Literate, willing to work under tight deadline and adapt to desk-bound and remote working scheme.Possess excellent interpersonal and communication skills, self-motivated, dynamic, and proactive.Full-Time position(s) available."
Marine Engineer for Surveyor and Adjuster,Full time,PT Radita Hutama Internusa,,"Candidate must possess Marine Engineer (min. ATT-II) qualification from STIP (Merchant Marine Higher Education).At least 2 years' experience as a Second or First Engineer onboard a vessel.Highly proficient in English.Prepared to work as a team, willing to travel throughout Indonesia particularly in remote area and work in flexi-time hours.Computer Literate, willing to work under tight deadline and adapt to desk-bound and remote working scheme.Possess excellent interpersonal and communication skills, self-motivated, dynamic, and proactive.Full-Time position(s) available."
Market Insight Analyst,Full time,PT Arwana Citramulia Tbk,,"Since 1995, PT Arwana Citramulia Tbk has been committed to providing high-quality ceramic products at affordable prices, specifically catering to the middle-to-lower market segment in Indonesia. With strategically located factories, the company ensures cost efficiency and seamless distribution."
Geospatial Data Engineer,Full time,PT RGE Indonesia,,Not Found
Exploration Geologist,Full time,PT. KTC COAL MINING & ENERGY,,Not Found
Marketing and PR Manager,Full time,PT Seacrest Real Estate,Rp 8.000.000 – Rp 12.000.000 per month,Not Found
Project Manager (Coal Mining),Full time,PT. KTC COAL MINING & ENERGY,,"Usia minimal 40 tahun.Lulusan S1 (Sarjana) bidang Pertambangan, Geologi, Sipil dan Teknik dari universitas/fakultas yang terakreditasi.Pengalaman minimal 10 tahun pada posisi yang sama (diutamakan dari kontraktor pertambangan).Mampu mengoperasikan mining software dan MS Office.Mampu melakukan analisis dan simulasi perhitungan secara detailMemiliki kapabilitas dalam melakukan multi-tasking (managerial, engineering, budgeting, costing, planning, directing, monitoring, controlling, organizing, problem-solving, managing people, reporting dan lain-lain).Memahami berbagai faktor eksternal yang dapat mempengaruhi keberlangsungan operasi penambangan.Memiliki leadership yang kuat serta mampu bekerja dibawah tekanan.Mampu berbahasa Inggris (lisan dan tulisan).Memiliki sertifikasi POM.Bersedia ditempatkan diseluruh site project (remote area)."
Accountant (remotely),Full time,PT. MATCH MAKERS AGENCY,Rp 5.000.000 – Rp 6.000.000 per month,Not Found
Public Affair/Government Relations Expert,Contract/Temp,ASIA PULP AND PAPER,,Not Found
Supervision,Full time,PT Daikin Airconditioning Indonesia,Rp 9.500.000 – Rp 10.700.000 per month,"Diploma/ Bachelor Degree From EngineeringGood ability on Microsoft Office,Detail oriented, fast-learner, and team playerGood English Communication Skill"
Project Controller (Mobile - Roster Schedule),Full time,Aden Services – Indonesia,,">Pendidikan terakhir minimal Diploma.
>Memiliki pengalaman bekerja di Bidang F&B minimal 2 Tahun.
>Memiliki pengalaman dengan Sistem ERP, SAP, Navision lebih diutamakan.
>Familiar dengan Ms. Office (khususnya Ms. Excel)
>Bersedia bekerja mobile (ke area Remote Site)."
Sales Engineer,Full time,PT Halley & Mellowes Australasia,,"Bachelor’s degree in engineering Major.Experience in sales with one or more in Electrical and Instrumentation.Excellent verbal and written communication skills both in Bahasa Indonesia and EnglishHigh level of computer literacyAbility to build rapport and develop relationships with internal and external customers and prospectswell organised and a proven chaser of business opportunitiesBe (Both) technically and sales orientatedCustomer focussed with attention to detailsBudget forecasting and proficiency with commercial terms and conditionsAbility and willingness to travel is a MUST
A solid understanding of engineering and technical principles is required along with the ability to effectively communicate details and objectives within project teams, sub-contractors and clients. We are looking for a strong achiever who strive for results and are passionate about developing their expertise and building a successful career. We want people who are professional, innovative, committed and looking to be challenged.
In return for your hard work and dedication you will be remunerated with a competitive salary package with the opportunity to be part of rapidly growing mining infrastructure projects. You will work with a team of driven and professional colleagues who encourage support and delivering optimum results."
Web Designer,Full time,Private Advertiser,,"- Proven experience in website design and development, specifically on the Squarespace platform.
- Strong portfolio showcasing previous Squarespace projects, including responsive and functional websites.
- Knowledge of best practices for web design, UX/UI principles, and SEO.
- Proficiency in using design tools such as Adobe Creative Suite, Figma, or similar.
- Excellent communication skills, both verbal and written.
- Ability to work independently and manage time effectively to meet deadlines."
Assistant - Plantation - Penempatan Kalimantan Timur (Sepaku),Full time,PT Agro Harapan Lestari,,Candidate must possess at least Bachelor's Degree in Agriculture/Aquaculture/Forestry or equivalent.At least 2 Year(s) of working experience in the related field is required for this position.Preferably Staff (non-management & non-supervisor) specialized in Agriculture/Forestry/Fisheries or equivalent.Placement in East Kalimantan site (Sepaku - Paser Penajam Utara)Willing to work in remote area/location
Graphic Designer Jakarta (Freelance Part Time),Part time,Zhuan Marketing Agency Indonesia,Rp 1.000.000 per month,"Mahir menggunakan Canva, mampu memanfaatkan template dengan baik tanpa harus mulai dari nol setiap saat.Fast response: siap memberikan respons cepat untuk setiap revisi atau request.Pengalaman membuat desain yang menarik dan kreatif untuk media sosial.Siap mendesain sekitar 50 feed per bulan untuk satu brand, fokus pada kualitas dan konsistensi visual."
Chief Geologist,Full time,PT. KTC COAL MINING & ENERGY,,Not Found
IT Firewall (Full WFH),Contract/Temp,PT Sinergi Wahana Gemilang,,Not Found
Drill & Blast Engineer,Full time,PT Maruwai Coal,,Not Found
VMWare Engineer,Contract/Temp,"PT. Metrodata Electronics, Tbk",,Not Found
Mechanic/Electrical Mechanic rig,Full time,PT. OMEGA DRILLING SERVICES,,Not Found
Communication Specialist,Full time,PT Pulau Sambu,,Not Found
Sales Engineer,Full time,PT Tekno Fluida Indonesia,,"Age Maximum 38 years old.Minimum Education S1 Degree in Mechanical Engineering / Industrial Engineering.Minimum Experience 2 years in marketing industrial field.Well-rounded mechanical aptitude and familiar with Hydraulic, Filtration, and Wastewater Treatment.Well-rounded mechanical aptitude and familiar with pumps, motor, valves, flanges, seals, piping, tanks, sensors, instrumentation, control systems, process and instrumentation diagrams (P&Ids), and process flow diagrams (PFDs).Good skill in computer literate.Proficient in English both written and speaking.Having Driver License (SIM A and C).Able to work under minimum supervision and under pressure.Strong analytical sense.Able to create reports.Willing to work on remote area.Will be working in BSD, Tangerang Selatan.
If you feel that you can meet the qualification and up to the challenge, feel free to apply by pressing the underneath button."
Maintenance Planning Engineer (CHPP),Full time,PT Maruwai Coal,,Not Found
Network Engineer,Full time,Jasnikom Gemanusa,,"Bachelor's Degree in Engineering (Computer/Telecommunication/Network), Computer Science/Information Technology or equivalentHave a Cisco Certificate such as CCNAWilling to be placed in offshore and remote areaHaving a healthy body and healthy eyesWilling to work in elevation areaAble to work individually or team and in under pressure situationHave the ability to analyze technical problems, draw conclusions and provide recommendations / proposed the solutions.Having knowledge about HSEFluent in English is a must"
Affiliate Specialist (Internship),Casual/Vacation,PT Interbat,,Not Found
Checkout Services Manager (Alam Sutera),Full time,IKEA Indonesia,,Not Found
Technical Control Officer,Full time,PT Royal Lestari Utama (Michelin Group),,Not Found
Sales Executive,Full time,Sava Catering,Rp 2.000.000 – Rp 3.000.000 per month,Not Found
Lead Tender & Project Sourcing,Full time,General Electric International Operations Co.inc,,Not Found
Finance Associate,Full time,CFO Assist Pte. Ltd.,"Rp 14,000,000 – Rp 21,000,000 per month",Not Found
Marketing & Business Development Senior Manager,Full time,Private Advertiser,,Not Found
Operation & Maintenance Technician,Full time,Jasnikom Gemanusa,,"Pendidikan minimal SMK Elektro / Telekomunikasi / InformatikaBerbadan sehat dan lulus MCUBersedia bekerja secara shiftJika diperlukan, bersedia ditempatkan dan/atau bisa ditugaskan ke luar kota, baik onshore, offshore ataupun remote areaPengalaman kerja minimal 1 tahun di bidang Radio Microwave, atau VSAT, atau NetworkingMempunyai sikap kerja dan kemampuan komunikasi yang baikMampu bekerja dibawah tekanan dan target yang ketatMampu bekerja secara mandiri maupun dalam teamUlet & cekatan dalam bekerjaMemiliki integritas dan motivasi kerja yang tinggiMampu mengoperasikan aplikasi MS office (Excel, Word, Power Point, Visio)Mengerti bahasa InggrisMemiliki kepedulian terhadap kesehatan dan keselamatan kerja"
Project Portfolio Analyst,Part time,PT Suitmedia Kreasi Indonesia,,"Bachelor’s degree in Information System, Information Technology, or related field.1-2 years of experience in project management, data analysis, or a related role (internship experience considered).Strong analytical skills with proficiency in Google Sheets, or other data analysis tools.Familiarity with project management software (e.g. Jira, Basecamp, or Teamwork) is a plus.Excellent communication and interpersonal skills, with the ability to convey data-driven insights to non-technical stakeholders.Strong organizational skills and attention to detail, with the ability to prioritize tasks effectively.
We apply remote-first approach or WFA (Work From Anywhere) as our work nature to enhance work-life balance."
Field Engineer,Full time,PT Navita Origo Solution,,Not Found
Indonesian VA - Link Building Assistant,Full time,REBEL Internet BV,$1.25 per hour (USD),"Minimum of 2 years of experience working online in SEO or a related field.
Proficient in English, with excellent written communication skills.
Familiarity with Trello.
Strong attention to detail and ability to follow instructions."
Shop Keeper,Part time,Propotype RC (CV Hala Kreatif Indonesia),,Not Found
Outbound Sales Representative,Full time,Fausto Automation,"Rp 3,500,000 per month","* At least 1 year of sales experience, cold-calling experience is a plus.
* Excellent communication skills in English, both written and verbal.
* Results-driven with a track record of performing well in high-paced, goal-oriented environments.
* Experience with CRM tools is a plus."
SAP  ABAP,Full time,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),,Not Found
Service Delivery Field Support Engineer (L1),Full time,PT NTT Indonesia,,Not Found
Reservation Admin,Full time,FINNS Recreation Club,,"• Minimum 1-2 Years' experience in reservations, data entry, or related area experience.
• Fluent in English written & Spoken
• Good numeracy skills
• Team player with
• Good understanding of reservations
• Familiar with OTAs. B2B. Extranet
• High attention to detail
• All work is conducted in English
Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP"
Inventory Planning Analyst,Full time,The Ridge,,"Proven experience in inventory management, data analysis, or a similar role.Proficiency in Excel and experience with data analysis tools (e.g., SQL, Tableau, or similar).Strong analytical skills with a keen attention to detail.Excellent communication and interpersonal skills.Ability to work collaboratively in a fast-paced environment.
Preferred Qualifications:
Experience with ERP systems, preferredFamiliarity with inventory optimization techniques."
admin,Full time,Private Advertiser,Rp 2.000.000 – Rp 3.000.000 per month,•Language Skills:Excellent written and spoken English is essential. You should be able to write fluently and confidently to match the platform’s professional and engaging tone.
Fullstack Developer Golang,Full time,Vascomm,,Not Found
Staff Techonology IT.,Full time,PT Biota Laut Ganggang (Pinrang),Rp 3.434.298 – Rp 5.151.447 per month,"Pendidikan minimal S1 dalam bidang Komputer, Jaringan, atau TelekomunikasiPengalaman kerja terkait minimal 1 tahun, mampu menggunakan bahasa Inggris dasar untuk komunikasi harian dan tulisanMemiliki pengalaman dalam implementasi proyek jaringan dan mampu menyelesaikan perubahan dan pemeliharaan jaringan secara mandiri adalah nilai tambahMenguasai produk jaringan dari Mikrotik, Cisco, UBNT, dan mampu mengonfigurasi serta menguji router, switch, firewall, dan produk jaringan lainnyaJujur dan dapat dipercaya, ramah, memiliki sikap positif, bekerja dengan serius dan bertanggung jawab, memiliki semangat kerja keras, inisiatif tinggi dalam melayani, serta kemampuan teknis yang baikMemahami metode analisis diagnosis masalah/kerusakan/potensi risiko jaringan, serta metode optimalisasi kinerja dan kualitas jaringanMemiliki pengetahuan dasar tentang listrik lemah dan pengalaman kerja terkaitMemahami teknik penanganan masalah sehari-hari untuk sistem akses kontrol dan pengawasan videoMenguasai perangkat keras dan perangkat lunak komputer serta perangkat IT kantor lainnya"
IT Security,Full time,Vascomm,,Not Found
Lowongan Kerja sebagai Junior GIS Specialist di Minerva Ventures Penempatan,Full time,Minerva Ventures Indonesia,,Not Found
Recruitment Specialist (Immediate 1 month contract),Full time,Snaphunt,,"Prior experience in Sales, recruitment, staffing, or talent acquisition is preferred.Strong goal orientation with the ability to meet deadlines and deliver results in a dynamic environment.Excellent communication and interpersonal skills, with the ability to influence and engage candidates effectively.Strong organizational skills and attention to detail.A proactive approach to learning and adapting in a fast-paced environment."
Senior IT Manager,Full time,Private Advertiser,,"Bachelor’s degree in information technology, computer science, software engineering, or a related field.Required language(s): Bahasa Indonesia, English.At least 5 Years) of working experience in the related field is required for this position.Proven experience managing IT infrastructure and services.Experience with computer networks, network administration, and network installation.Experience with database administration, Mysql, MSSQL, PostgreSQL, and Amazon RDS.Proficient in computer hardware, cabling installation and support, wireless technology applications and interfaces, and IT security.Management and leadership skills.Multi-tasking and time-management skills, with the ability to prioritize tasks.Highly organized and detail-oriented.Excellent analytical and problem-solving skills.Flexible working hours."
"Manager, Business Development",Full time,Intraco Limited,,Personal Requirements:
System Analyst (.NET),Full time,PT Linov Roket Prestasi,,"Bachelor Degree in IT/ Computer Science, or related field.Having experience in System Analyst for about 3 years.Having experience in System Development (technical) for about 3 years.Understand SDLC (waterfall methodology). Knowledge in agile will be advantageous.Ability to work with a cross functional team and diverse culture.Excellent communication skillAble to communicate in English. Ability to understand English conversation and document is a must.Willing to be assigned to work full onsite (WFO). But also self-motivated during remote / WFH environment.Critical thinking and eager to challengeGood issue, task and time managementAble to work under high pressure and target
Technical Skill:
Hands on experience in ASP .NET C# developmentDatabase design and programming (SQL)Webservice, XML & JSONKnowledge in various state-of-the-art technologyREST APISystem Design CreationAbility to translate biz requirement to use case and system functional flow (UML Diagram)JIRA/ MS. PLANNER, postman, UML Diagram, system architecture diagramAble to conduct system analysis based on requirement and document the result properlyHave experience in the process of making microservice and monolith application related to requirements, design, development, testing and documentation
Optional/Preferable skill:
Knowledge in JSONExperience in java script frameworksK2 WorkflowExperience in Banking or Financial IndustryMicroserviceDevops (experience using Jenkins is advantageous)DevExpressHaving knowledge on container platform, such as docker, openshift and kubernetes is a plusHaving experience to setting CI/CD pipeline using Jenkins or Gitlab CI is a plusHaving knowledge on agile methodology, conduct in teams meetings (with all Agile Ceremonies: DSM,Planning, review and retro) to provide input from business analyst and delegate solutions to dev team to improve efficiency.Work closely with development team to support analyzation including create API design microservices and all documentations"
Video Editor (Offshore),Contract/Temp,PropNex Realty Pte Ltd,$600 – $900 per month (SGD),Not Found
Second Level Maintenance (SLM) - Managed Service,Contract/Temp,PT Brinks Solutions Indonesia,Rp 5.000.000 – Rp 5.100.000 per month,Not Found
IT Support,Contract/Temp,PT. Bali Ria Internasional,Rp 3.500.000 – Rp 4.500.000 per month,Not Found
Sales Manager,Full time,Private Advertiser,,Not Found
SUPERINTENDENT DEVELOPMENT FACILITIES,Full time,PT Amman Mineral Nusa Tenggara,,"Bachelor Civil / Architect engineering with 15-18 years’ experience in Project management Development Facilities, including Urban Spatial Planning for townsites in mining or heavy industries. This scope covers key planning, development, and sustainability aspects to ensure that the town is not only functional for workers and their families but also environmentally and economically sustainable.Has minimum 5 years’ experience as Head / Superintendent Business Development FacilitiesAn advanced degree or relevant certifications (e.g., Project Management Professional - PMP) is advantageous; Proficient in project management tools (e.g., MS Project, Primavera) and familiar with engineering and construction principles.Strong understanding of mining industry regulations, particularly in safety, environmental, and infrastructure standards.
Have middle level operational inspector certificate (POM) or qualifications certificate recognized by (Chief Mines Inspector) in accordance with level of position.
Strong leadership and organizational, scheduling & time management skills; Ability to work both independently and as a team player and thrive in a fast paced, high pressure environment dependent on managing multiple project timelines and schedules simultaneously; Ability to communicate well, and work productively with internal and external individuals; A commitment to safety and a desire to maintain our Indonesian mining operations to world class international safety standards; Demonstrate strong conceptual skills, and capable of developing lateral and practical solutions; High level of integrity and commitment; Good analytical, conflict resolution, sound decision making skills;Excellent communication skills in English both verbal and written and computer literate."
Ahli Kepabeanan,Full time,PT Pulau Sambu,,Not Found
SEO Content Writer,Contract/Temp,PT Ninety Nine Dotco,,Not Found
"Software Engineer, Mobile (Flutter) - Merchant Experience",Full time,PT Solusi Transportasi Indonesia,,Not Found
Field Sourcing Supervisor - Rice & Rice Bran,Full time,PT Jiva Agriculture Indonesia,,"Bachelor’s degree in Agriculture, Supply Chain Management, Business Administration, or related field.Minimum of 3-5 years of experience in procurement, preferably in the agricultural or commodity sector, especially paddy.Having experience as a team leader is preferred.Strong knowledge of the rice industry, including types of rice and rice milling processes.Able to communicate in English - written & spoken (mandatory)Owning motorcycle and SIM C"
Inside Sales Representative,Full time,PT Schneider Electric,,Not Found
PayPal Disputes Agent,Full time,GTEcom BV,,Not Found
Fractional Advisor – Fintech,Part time,Snaphunt,,Not Found
Associate Video Editor,Contract/Temp,FullFind,,"2-3 years experience as a Video Editor, with a strong portfolio demonstrating expertise in both long-form and short-form video content.Proficiency in video editing software such as Adobe Premiere Pro, Final Cut Pro, or similar tools.Ability to conceptualize and execute creative ideas effectively.Excellent organizational and time-management skills to handle multiple projects simultaneously and meet deadlines."
Account Manager - Bioprocess and Genomic Medicine,Full time,Danaher Corporation,,Not Found
